"filename", "language", "GLSL", "C++", "Markdown", "comment", "blank", "total"
"/home/kyutsune/Bring-me-the-engine/README.md", "Markdown", 0, 0, 1, 0, 1, 2
"/home/kyutsune/Bring-me-the-engine/include/base/Color.h", "C++", 0, 2, 0, 0, 0, 2
"/home/kyutsune/Bring-me-the-engine/include/base/Frustum.h", "C++", 0, 11, 0, 3, 3, 17
"/home/kyutsune/Bring-me-the-engine/include/base/PlaneBoundingVolume.h", "C++", 0, 36, 0, 2, 11, 49
"/home/kyutsune/Bring-me-the-engine/include/base/Vec.h", "C++", 0, 14, 0, 1, 4, 19
"/home/kyutsune/Bring-me-the-engine/include/engine/Camera.h", "C++", 0, 5, 0, 0, 0, 5
"/home/kyutsune/Bring-me-the-engine/include/engine/Entity.h", "C++", 0, 7, 0, 0, 1, 8
"/home/kyutsune/Bring-me-the-engine/include/engine/LightingManager.h", "C++", 0, 0, 0, 0, 1, 1
"/home/kyutsune/Bring-me-the-engine/include/engine/Mesh.h", "C++", 0, 2, 0, 0, 0, 2
"/home/kyutsune/Bring-me-the-engine/include/engine/Scene.h", "C++", 0, 9, 0, 0, -2, 7
"/home/kyutsune/Bring-me-the-engine/include/ui/Menu.h", "C++", 0, 5, 0, 0, 1, 6
"/home/kyutsune/Bring-me-the-engine/shaders/bounding_box.frag", "GLSL", 6, 0, 0, 0, 3, 9
"/home/kyutsune/Bring-me-the-engine/shaders/bounding_box.vert", "GLSL", 8, 0, 0, 0, 2, 10
"/home/kyutsune/Bring-me-the-engine/src/base/Frustum.cpp", "C++", 0, 77, 0, 12, 25, 114
"/home/kyutsune/Bring-me-the-engine/src/base/PlaneBoundingVolume.cpp", "C++", 0, 84, 0, 1, 15, 100
"/home/kyutsune/Bring-me-the-engine/src/engine/Camera.cpp", "C++", 0, -15, 0, -1, -5, -21
"/home/kyutsune/Bring-me-the-engine/src/engine/Entity.cpp", "C++", 0, 8, 0, 0, 2, 10
"/home/kyutsune/Bring-me-the-engine/src/engine/Mesh.cpp", "C++", 0, 16, 0, 0, 6, 22
"/home/kyutsune/Bring-me-the-engine/src/engine/Scene.cpp", "C++", 0, 11, 0, 0, 2, 13
"/home/kyutsune/Bring-me-the-engine/src/main.cpp", "C++", 0, 1, 0, 0, 0, 1
"/home/kyutsune/Bring-me-the-engine/src/ui/Menu.cpp", "C++", 0, 30, 0, 3, 7, 40
"Total", "-", 14, 303, 1, 21, 77, 416
