"filename", "language", "GLSL", "C++", "comment", "blank", "total"
"/home/kyutsune/Bring-me-the-engine/include/engine/Entity.h", "C++", 0, -2, -3, -1, -6
"/home/kyutsune/Bring-me-the-engine/include/engine/Material.h", "C++", 0, 11, 3, 3, 17
"/home/kyutsune/Bring-me-the-engine/include/ui/Menu.h", "C++", 0, 0, -1, 1, 0
"/home/kyutsune/Bring-me-the-engine/include/ui/Sections.h", "C++", 0, 8, 0, 4, 12
"/home/kyutsune/Bring-me-the-engine/shaders/triangle.frag", "GLSL", -5, 0, 0, -1, -6
"/home/kyutsune/Bring-me-the-engine/shaders/triangle.vert", "GLSL", -5, 0, 0, -1, -6
"/home/kyutsune/Bring-me-the-engine/shaders/vertex.frag", "GLSL", 3, 0, -13, -7, -17
"/home/kyutsune/Bring-me-the-engine/src/engine/Entity.cpp", "C++", 0, -3, 0, -1, -4
"/home/kyutsune/Bring-me-the-engine/src/engine/Scene.cpp", "C++", 0, -10, 3, 0, -7
"/home/kyutsune/Bring-me-the-engine/src/main.cpp", "C++", 0, 0, 0, 1, 1
"/home/kyutsune/Bring-me-the-engine/src/ui/Menu.cpp", "C++", 0, -32, -2, -6, -40
"/home/kyutsune/Bring-me-the-engine/src/ui/Sections.cpp", "C++", 0, 58, 0, 9, 67
"Total", "-", -7, 30, -13, 1, 11
